method,byz_ratio,seed,n_byz,byz_ids,asr,fpr,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,elapsed_s
fedavg,0.0,42,0,[],0.025835,0.538696,99.717734,0.999319,0.999516,0.999742,0.999629,5539,30,16,61915,186.3
cwtm,0.0,42,0,[],0.025835,0.484827,99.744669,0.999363,0.999564,0.999742,0.999653,5542,27,16,61915,179.6
gm,0.0,42,0,[],0.022606,0.592566,99.692414,0.999304,0.999467,0.999774,0.999621,5536,33,14,61917,179.6
trust_gm,0.0,42,0,[],0.025835,0.395044,99.78956,0.999437,0.999645,0.999742,0.999693,5547,22,16,61915,181.3
acccs_gm,0.0,42,0,[],0.022606,1.741785,99.117805,0.998356,0.998436,0.999774,0.999104,5472,97,14,61917,180.7
fedavg,0.2,42,2,"[1, 7]",0.066203,1.526306,99.203745,0.998133,0.998628,0.999338,0.998983,5484,85,41,61890,175.9
cwtm,0.2,42,2,"[1, 7]",0.074276,0.538696,99.693514,0.998874,0.999515,0.999257,0.999386,5539,30,46,61885,175.2
gm,0.2,42,2,"[1, 7]",0.024221,1.059436,99.458172,0.998904,0.999048,0.999758,0.999403,5510,59,15,61916,179.9
trust_gm,0.2,42,2,"[1, 7]",0.024221,0.646436,99.664672,0.999244,0.999419,0.999758,0.999588,5533,36,15,61916,180.6
acccs_gm,0.2,42,2,"[1, 7]",0.022606,1.939307,99.019044,0.998193,0.998259,0.999774,0.999016,5461,108,14,61917,179.6
fedavg,0.3,42,3,"[1, 5, 7]",1.584021,0.574609,98.920685,0.984993,0.999475,0.98416,0.991758,5537,32,981,60950,176.3
cwtm,0.3,42,3,"[1, 5, 7]",5.402787,0.448914,97.07415,0.950059,0.999573,0.945972,0.972034,5544,25,3346,58585,175.5
gm,0.3,42,3,"[1, 5, 7]",0.130791,1.149219,99.359995,0.997852,0.998966,0.998692,0.998829,5505,64,81,61850,177.9
trust_gm,0.3,42,3,"[1, 5, 7]",0.041982,0.736218,99.6109,0.999007,0.999338,0.99958,0.999459,5528,41,26,61905,178.3
acccs_gm,0.3,42,3,"[1, 5, 7]",0.022606,1.777698,99.099848,0.998326,0.998404,0.999774,0.999088,5470,99,14,61917,177.8
fedavg,0.4,42,4,"[0, 1, 5, 7]",57.310555,2.352307,70.168569,0.472237,0.995069,0.426894,0.597469,5438,131,35493,26438,175.3
cwtm,0.4,42,4,"[0, 1, 5, 7]",24.233421,0.269348,87.748615,0.777437,0.99968,0.757666,0.862008,5554,15,15008,46923,177.5
gm,0.4,42,4,"[0, 1, 5, 7]",7.844214,0.197522,95.979132,0.927867,0.999807,0.921558,0.959089,5558,11,4858,57073,179.3
trust_gm,0.4,42,4,"[0, 1, 5, 7]",0.256737,0.574609,99.584327,0.99717,0.999482,0.997433,0.998456,5537,32,159,61772,179.4
acccs_gm,0.4,42,4,"[0, 1, 5, 7]",0.025835,0.700305,99.63693,0.999185,0.999371,0.999742,0.999556,5530,39,16,61915,179.5
fedavg,0.0,123,0,[],0.019376,0.46687,99.756877,0.999437,0.99958,0.999806,0.999693,5543,26,12,61919,172.7
cwtm,0.0,123,0,[],0.022606,0.484827,99.746284,0.999393,0.999564,0.999774,0.999669,5542,27,14,61917,171.7
gm,0.0,123,0,[],0.020991,0.502783,99.738113,0.999393,0.999548,0.99979,0.999669,5541,28,13,61918,175.4
trust_gm,0.0,123,0,[],0.024221,0.448914,99.763433,0.999407,0.999596,0.999758,0.999677,5544,25,15,61916,180.4
acccs_gm,0.0,123,0,[],0.019376,1.45448,99.263072,0.998622,0.998694,0.999806,0.99925,5488,81,12,61919,179.2
fedavg,0.2,123,2,"[0, 7]",0.025835,1.310828,99.331668,0.998681,0.998822,0.999742,0.999282,5496,73,16,61915,176.8
cwtm,0.2,123,2,"[0, 7]",0.020991,0.843958,99.567526,0.999111,0.999242,0.99979,0.999516,5522,47,13,61918,176.6
gm,0.2,123,2,"[0, 7]",0.019376,1.274915,99.352854,0.99877,0.998855,0.999806,0.99933,5498,71,12,61919,179.0
trust_gm,0.2,123,2,"[0, 7]",0.017762,0.736218,99.62301,0.99923,0.999338,0.999822,0.99958,5528,41,11,61920,178.8
acccs_gm,0.2,123,2,"[0, 7]",0.019376,1.310828,99.334898,0.998741,0.998822,0.999806,0.999314,5496,73,12,61919,178.4
fedavg,0.3,123,3,"[0, 5, 7]",1.624388,1.04148,98.667066,0.984237,0.999049,0.983756,0.991344,5511,58,1006,60925,175.5
cwtm,0.3,123,3,"[0, 5, 7]",0.119488,0.484827,99.697843,0.998504,0.999564,0.998805,0.999184,5542,27,74,61857,176.3
gm,0.3,123,3,"[0, 5, 7]",0.087194,1.418567,99.24712,0.99803,0.998725,0.999128,0.998926,5490,79,54,61877,180.3
trust_gm,0.3,123,3,"[0, 5, 7]",0.011303,0.826001,99.581348,0.999215,0.999258,0.999887,0.999572,5523,46,7,61924,179.8
acccs_gm,0.3,123,3,"[0, 5, 7]",0.020991,0.969653,99.504678,0.999007,0.999129,0.99979,0.999459,5515,54,13,61918,180.8
fedavg,0.4,123,4,"[0, 5, 6, 7]",3.657296,2.190699,97.076003,0.964637,0.997959,0.963427,0.980389,5447,122,2265,59666,177.8
cwtm,0.4,123,4,"[0, 5, 6, 7]",0.127561,6.428443,96.721998,0.993526,0.994245,0.998724,0.99648,5211,358,79,61852,177.3
gm,0.4,123,4,"[0, 5, 6, 7]",0.13402,1.45448,99.20575,0.99757,0.998692,0.99866,0.998676,5488,81,83,61848,179.4
trust_gm,0.4,123,4,"[0, 5, 6, 7]",0.019376,0.718262,99.631181,0.99923,0.999354,0.999806,0.99958,5529,40,12,61919,179.3
acccs_gm,0.4,123,4,"[0, 5, 6, 7]",0.019376,1.185132,99.397746,0.998844,0.998935,0.999806,0.999371,5503,66,12,61919,179.6
fedavg,0.0,456,0,[],0.022606,0.574609,99.701392,0.999319,0.999483,0.999774,0.999629,5537,32,14,61917,175.0
cwtm,0.0,456,0,[],0.020991,0.682349,99.64833,0.999244,0.999387,0.99979,0.999588,5531,38,13,61918,172.0
gm,0.0,456,0,[],0.020991,0.736218,99.621395,0.9992,0.999338,0.99979,0.999564,5528,41,13,61918,174.6
trust_gm,0.0,456,0,[],0.024221,1.095349,99.440215,0.998874,0.999016,0.999758,0.999387,5508,61,15,61916,181.0
acccs_gm,0.0,456,0,[],0.019376,1.490393,99.245115,0.998593,0.998661,0.999806,0.999233,5486,83,12,61919,178.5
fedavg,0.2,456,2,"[0, 6]",0.02745,0.736218,99.618166,0.999141,0.999338,0.999726,0.999532,5528,41,17,61914,177.3
cwtm,0.2,456,2,"[0, 6]",0.029065,0.430957,99.769989,0.999378,0.999613,0.999709,0.999661,5545,24,18,61913,176.3
gm,0.2,456,2,"[0, 6]",0.024221,0.772131,99.601824,0.999141,0.999306,0.999758,0.999532,5526,43,15,61916,178.2
trust_gm,0.2,456,2,"[0, 6]",0.02745,1.203089,99.384731,0.998756,0.998919,0.999726,0.999322,5502,67,17,61914,177.1
acccs_gm,0.2,456,2,"[0, 6]",0.022606,0.897827,99.539783,0.999052,0.999193,0.999774,0.999483,5519,50,14,61917,177.8
fedavg,0.3,456,3,"[0, 6, 7]",0.083964,1.885437,99.015299,0.997674,0.998306,0.99916,0.998733,5464,105,52,61879,174.7
cwtm,0.3,456,3,"[0, 6, 7]",0.05167,0.915784,99.516273,0.99877,0.999177,0.999483,0.99933,5518,51,32,61899,175.7
gm,0.3,456,3,"[0, 6, 7]",0.020991,1.544263,99.217373,0.998533,0.998613,0.99979,0.999201,5483,86,13,61918,179.0
trust_gm,0.3,456,3,"[0, 6, 7]",0.025835,1.45448,99.259842,0.998563,0.998693,0.999742,0.999217,5488,81,16,61915,179.0
acccs_gm,0.3,456,3,"[0, 6, 7]",0.020991,1.364697,99.307156,0.998681,0.998774,0.99979,0.999282,5493,76,13,61918,178.3
fedavg,0.4,456,4,"[0, 6, 7, 8]",4.994268,13.449452,90.77814,0.943081,0.98743,0.950057,0.968383,4820,749,3093,58838,175.6
cwtm,0.4,456,4,"[0, 6, 7, 8]",0.276114,9.570839,95.076524,0.98957,0.991444,0.997239,0.994333,5036,533,171,61760,176.1
gm,0.4,456,4,"[0, 6, 7, 8]",0.32294,7.775184,95.950938,0.990622,0.993035,0.996771,0.994899,5136,433,200,61731,179.0
trust_gm,0.4,456,4,"[0, 6, 7, 8]",0.087194,2.047046,98.93288,0.997511,0.998161,0.999128,0.998644,5455,114,54,61877,179.4
acccs_gm,0.4,456,4,"[0, 6, 7, 8]",0.019376,1.45448,99.263072,0.998622,0.998694,0.999806,0.99925,5488,81,12,61919,179.6
fedavg,0.0,789,0,[],0.022606,0.556653,99.710371,0.999333,0.9995,0.999774,0.999637,5538,31,14,61917,176.1
cwtm,0.0,789,0,[],0.022606,0.538696,99.719349,0.999348,0.999516,0.999774,0.999645,5539,30,14,61917,171.9
gm,0.0,789,0,[],0.022606,0.574609,99.701392,0.999319,0.999483,0.999774,0.999629,5537,32,14,61917,175.2
trust_gm,0.0,789,0,[],0.022606,0.682349,99.647523,0.99923,0.999387,0.999774,0.99958,5531,38,14,61917,177.5
acccs_gm,0.0,789,0,[],0.022606,1.346741,99.315327,0.998681,0.99879,0.999774,0.999282,5494,75,14,61917,177.4
fedavg,0.2,789,2,"[4, 8]",0.26804,0.502783,99.614588,0.997126,0.999547,0.99732,0.998432,5541,28,166,61765,173.9
cwtm,0.2,789,2,"[4, 8]",0.061359,0.359131,99.789755,0.999141,0.999677,0.999386,0.999532,5549,20,38,61893,175.9
gm,0.2,789,2,"[4, 8]",0.025835,0.52074,99.726712,0.999333,0.999532,0.999742,0.999637,5540,29,16,61915,178.0
trust_gm,0.2,789,2,"[4, 8]",0.025835,0.682349,99.645908,0.9992,0.999387,0.999742,0.999564,5531,38,16,61915,179.0
acccs_gm,0.2,789,2,"[4, 8]",0.025835,0.46687,99.753647,0.999378,0.99958,0.999742,0.999661,5543,26,16,61915,177.4
fedavg,0.3,789,3,"[4, 5, 8]",4.693934,3.070569,96.117749,0.9544,0.997111,0.953061,0.974588,5398,171,2907,59024,174.8
cwtm,0.3,789,3,"[4, 5, 8]",0.515089,0.861914,99.311498,0.994563,0.999222,0.994849,0.997031,5521,48,319,61612,175.7
gm,0.3,789,3,"[4, 5, 8]",0.387528,1.185132,99.21367,0.995467,0.998931,0.996125,0.997526,5503,66,240,61691,177.7
trust_gm,0.3,789,3,"[4, 5, 8]",0.058129,0.646436,99.647718,0.998933,0.999419,0.999419,0.999419,5533,36,36,61895,177.6
acccs_gm,0.3,789,3,"[4, 5, 8]",0.053285,0.359131,99.793792,0.999215,0.999677,0.999467,0.999572,5549,20,33,61898,178.4
fedavg,0.4,789,4,"[0, 4, 5, 8]",50.556264,5.189442,72.127147,0.531867,0.99065,0.494437,0.659644,5280,289,31310,30621,176.6
cwtm,0.4,789,4,"[0, 4, 5, 8]",21.160647,0.251392,89.293981,0.805644,0.999713,0.788394,0.881566,5555,14,13105,48826,178.3
gm,0.4,789,4,"[0, 4, 5, 8]",2.877396,1.256958,97.932823,0.972563,0.998838,0.971226,0.984838,5499,70,1782,60149,180.9
trust_gm,0.4,789,4,"[0, 4, 5, 8]",0.080735,0.430957,99.744154,0.998904,0.999612,0.999193,0.999402,5545,24,50,61881,179.5
acccs_gm,0.4,789,4,"[0, 4, 5, 8]",0.040368,0.305261,99.827186,0.999378,0.999725,0.999596,0.999661,5552,17,25,61906,179.3
fedavg,0.0,1011,0,[],0.022606,0.52074,99.728327,0.999363,0.999532,0.999774,0.999653,5540,29,14,61917,175.8
cwtm,0.0,1011,0,[],0.022606,0.538696,99.719349,0.999348,0.999516,0.999774,0.999645,5539,30,14,61917,174.7
gm,0.0,1011,0,[],0.022606,0.664392,99.656501,0.999244,0.999403,0.999774,0.999588,5532,37,14,61917,175.1
trust_gm,0.0,1011,0,[],0.022606,1.167175,99.405109,0.99883,0.998951,0.999774,0.999362,5504,65,14,61917,177.1
acccs_gm,0.0,1011,0,[],0.019376,1.777698,99.101463,0.998356,0.998404,0.999806,0.999104,5470,99,12,61919,179.1
fedavg,0.2,1011,2,"[1, 8]",0.153397,0.197522,99.824541,0.99843,0.999822,0.998466,0.999144,5558,11,95,61836,176.5
cwtm,0.2,1011,2,"[1, 8]",0.164699,0.269348,99.782976,0.998267,0.999757,0.998353,0.999055,5554,15,102,61829,176.6
gm,0.2,1011,2,"[1, 8]",0.029065,0.359131,99.805902,0.999437,0.999677,0.999709,0.999693,5549,20,18,61913,179.8
trust_gm,0.2,1011,2,"[1, 8]",0.025835,0.915784,99.52919,0.999007,0.999177,0.999742,0.999459,5518,51,16,61915,181.3
acccs_gm,0.2,1011,2,"[1, 8]",0.020991,1.274915,99.352047,0.998756,0.998855,0.99979,0.999322,5498,71,13,61918,180.2
fedavg,0.3,1011,3,"[1, 6, 8]",0.597439,6.805531,96.298515,0.988904,0.993881,0.994026,0.993953,5190,379,370,61561,176.2
cwtm,0.3,1011,3,"[1, 6, 8]",0.05167,9.265577,95.341376,0.991881,0.991733,0.999483,0.995593,5053,516,32,61899,176.3
gm,0.3,1011,3,"[1, 6, 8]",0.069432,0.448914,99.740827,0.998993,0.999596,0.999306,0.999451,5544,25,43,61888,179.9
trust_gm,0.3,1011,3,"[1, 6, 8]",0.024221,1.310828,99.332476,0.998696,0.998822,0.999758,0.99929,5496,73,15,61916,179.9
acccs_gm,0.3,1011,3,"[1, 6, 8]",0.020991,1.687915,99.145547,0.998415,0.998484,0.99979,0.999137,5475,94,13,61918,179.7
fedavg,0.4,1011,4,"[0, 1, 6, 8]",3.684746,0.538696,97.888279,0.965748,0.999497,0.963153,0.980988,5539,30,2282,59649,176.8
cwtm,0.4,1011,4,"[0, 1, 6, 8]",1.976393,0.05387,98.984869,0.981822,0.999951,0.980236,0.989995,5566,3,1224,60707,176.5
gm,0.4,1011,4,"[0, 1, 6, 8]",0.406904,0.269348,99.661874,0.996044,0.999757,0.995931,0.99784,5554,15,252,61679,179.9
trust_gm,0.4,1011,4,"[0, 1, 6, 8]",0.050056,0.215479,99.867233,0.999363,0.999806,0.999499,0.999653,5557,12,31,61900,180.3
acccs_gm,0.4,1011,4,"[0, 1, 6, 8]",0.030679,0.628479,99.670421,0.9992,0.999435,0.999693,0.999564,5534,35,19,61912,179.8
fedavg,0.0,1415,0,[],0.022606,0.430957,99.773219,0.999437,0.999613,0.999774,0.999693,5545,24,14,61917,176.6
cwtm,0.0,1415,0,[],0.022606,0.341174,99.81811,0.999511,0.999693,0.999774,0.999734,5550,19,14,61917,175.9
gm,0.0,1415,0,[],0.022606,0.448914,99.76424,0.999422,0.999596,0.999774,0.999685,5544,25,14,61917,176.2
trust_gm,0.0,1415,0,[],0.020991,0.808045,99.585482,0.999141,0.999274,0.99979,0.999532,5524,45,13,61918,177.3
acccs_gm,0.0,1415,0,[],0.020991,2.082959,98.948025,0.998089,0.99813,0.99979,0.998959,5453,116,13,61918,180.4
fedavg,0.2,1415,2,"[1, 7]",0.061359,1.598133,99.170254,0.998119,0.998564,0.999386,0.998975,5480,89,38,61893,177.5
cwtm,0.2,1415,2,"[1, 7]",0.022606,0.861914,99.55774,0.999081,0.999225,0.999774,0.9995,5521,48,14,61917,177.0
gm,0.2,1415,2,"[1, 7]",0.024221,1.131262,99.422259,0.998844,0.998984,0.999758,0.999371,5506,63,15,61916,178.1
trust_gm,0.2,1415,2,"[1, 7]",0.020991,1.598133,99.190438,0.998489,0.998565,0.99979,0.999177,5480,89,13,61918,178.5
acccs_gm,0.2,1415,2,"[1, 7]",0.017762,2.352307,98.814965,0.997896,0.997889,0.999822,0.998855,5438,131,11,61920,180.1
fedavg,0.3,1415,3,"[1, 5, 7]",1.315981,0.736218,98.9739,0.987319,0.99933,0.98684,0.993046,5528,41,815,61116,176.8
cwtm,0.3,1415,3,"[1, 5, 7]",10.904071,0.646436,94.224747,0.899422,0.999348,0.890959,0.942046,5533,36,6753,55178,178.1
gm,0.3,1415,3,"[1, 5, 7]",0.104956,1.04148,99.426782,0.998178,0.999063,0.99895,0.999007,5511,58,65,61866,180.7
trust_gm,0.3,1415,3,"[1, 5, 7]",0.022606,1.310828,99.333283,0.998711,0.998822,0.999774,0.999298,5496,73,14,61917,179.4
acccs_gm,0.3,1415,3,"[1, 5, 7]",0.019376,1.310828,99.334898,0.998741,0.998822,0.999806,0.999314,5496,73,12,61919,181.0
fedavg,0.4,1415,4,"[1, 5, 7, 8]",17.125511,1.005567,90.934461,0.842044,0.99891,0.828745,0.905906,5513,56,10606,51325,176.9
cwtm,0.4,1415,4,"[1, 5, 7, 8]",21.538486,0.664392,88.898561,0.801837,0.999239,0.784615,0.879016,5532,37,13339,48592,177.6
gm,0.4,1415,4,"[1, 5, 7, 8]",4.881239,0.682349,97.218206,0.954652,0.999355,0.951188,0.974677,5531,38,3023,58908,179.7
trust_gm,0.4,1415,4,"[1, 5, 7, 8]",0.067817,1.418567,99.256808,0.998207,0.998725,0.999322,0.999023,5490,79,42,61889,178.9
acccs_gm,0.4,1415,4,"[1, 5, 7, 8]",0.022606,1.113306,99.432044,0.998874,0.999,0.999774,0.999387,5507,62,14,61917,179.1
fedavg,0.0,1617,0,[],0.020991,0.664392,99.657308,0.999259,0.999403,0.99979,0.999596,5532,37,13,61918,176.9
cwtm,0.0,1617,0,[],0.020991,0.664392,99.657308,0.999259,0.999403,0.99979,0.999596,5532,37,13,61918,176.0
gm,0.0,1617,0,[],0.022606,0.682349,99.647523,0.99923,0.999387,0.999774,0.99958,5531,38,14,61917,175.6
trust_gm,0.0,1617,0,[],0.017762,1.149219,99.41651,0.998889,0.998967,0.999822,0.999395,5505,64,11,61920,174.7
acccs_gm,0.0,1617,0,[],0.020991,1.885437,99.046786,0.998252,0.998307,0.99979,0.999048,5464,105,13,61918,178.0
fedavg,0.2,1617,2,"[6, 8]",0.038753,8.224098,95.868575,0.992859,0.992656,0.999612,0.996122,5111,458,24,61907,176.8
cwtm,0.2,1617,2,"[6, 8]",0.024221,8.098402,95.938689,0.993096,0.992769,0.999758,0.996251,5118,451,15,61916,175.1
gm,0.2,1617,2,"[6, 8]",0.02745,1.239002,99.366774,0.998726,0.998887,0.999726,0.999306,5500,69,17,61914,179.7
trust_gm,0.2,1617,2,"[6, 8]",0.017762,1.167175,99.407531,0.998874,0.998951,0.999822,0.999387,5504,65,11,61920,179.5
acccs_gm,0.2,1617,2,"[6, 8]",0.020991,1.705872,99.136569,0.9984,0.998468,0.99979,0.999129,5474,95,13,61918,183.2
fedavg,0.3,1617,3,"[5, 6, 8]",0.274499,0.700305,99.512598,0.996904,0.999369,0.997255,0.998311,5530,39,170,61761,178.3
cwtm,0.3,1617,3,"[5, 6, 8]",0.040368,2.262525,98.848554,0.997763,0.997969,0.999596,0.998782,5443,126,25,61906,179.5
gm,0.3,1617,3,"[5, 6, 8]",0.029065,1.939307,99.015814,0.998133,0.998259,0.999709,0.998983,5461,108,18,61913,181.1
trust_gm,0.3,1617,3,"[5, 6, 8]",0.020991,1.777698,99.100655,0.998341,0.998404,0.99979,0.999096,5470,99,13,61918,181.1
acccs_gm,0.3,1617,3,"[5, 6, 8]",0.022606,1.50835,99.234522,0.998548,0.998645,0.999774,0.999209,5485,84,14,61917,179.5
fedavg,0.4,1617,4,"[1, 5, 6, 8]",3.649223,6.823487,94.763645,0.960889,0.993672,0.963508,0.978357,5189,380,2260,59671,175.6
cwtm,0.4,1617,4,"[1, 5, 6, 8]",2.31548,0.215479,98.734521,0.978578,0.999802,0.976845,0.98819,5557,12,1434,60497,178.2
gm,0.4,1617,4,"[1, 5, 6, 8]",0.581292,2.334351,98.542179,0.992741,0.997893,0.994187,0.996037,5439,130,360,61571,181.3
trust_gm,0.4,1617,4,"[1, 5, 6, 8]",0.048441,5.710181,97.120689,0.994844,0.994889,0.999516,0.997197,5251,318,30,61901,181.8
acccs_gm,0.4,1617,4,"[1, 5, 6, 8]",0.022606,0.682349,99.647523,0.99923,0.999387,0.999774,0.99958,5531,38,14,61917,181.2
fedavg,0.0,1819,0,[],0.022606,0.556653,99.710371,0.999333,0.9995,0.999774,0.999637,5538,31,14,61917,178.1
cwtm,0.0,1819,0,[],0.022606,0.538696,99.719349,0.999348,0.999516,0.999774,0.999645,5539,30,14,61917,175.5
gm,0.0,1819,0,[],0.022606,0.538696,99.719349,0.999348,0.999516,0.999774,0.999645,5539,30,14,61917,175.2
trust_gm,0.0,1819,0,[],0.019376,1.077393,99.451615,0.998933,0.999032,0.999806,0.999419,5509,60,12,61919,174.9
acccs_gm,0.0,1819,0,[],0.019376,1.687915,99.146354,0.99843,0.998484,0.999806,0.999145,5475,94,12,61919,176.8
fedavg,0.2,1819,2,"[6, 7]",0.022606,1.957263,99.010065,0.998178,0.998243,0.999774,0.999008,5460,109,14,61917,177.4
cwtm,0.2,1819,2,"[6, 7]",0.019376,1.310828,99.334898,0.998741,0.998822,0.999806,0.999314,5496,73,12,61919,178.7
gm,0.2,1819,2,"[6, 7]",0.020991,1.849524,99.064742,0.998281,0.998339,0.99979,0.999064,5466,103,13,61918,180.7
trust_gm,0.2,1819,2,"[6, 7]",0.014532,1.741785,99.121841,0.99843,0.998436,0.999855,0.999145,5472,97,9,61922,178.7
acccs_gm,0.2,1819,2,"[6, 7]",0.019376,2.190699,98.894963,0.998015,0.998034,0.999806,0.998919,5447,122,12,61919,178.8
fedavg,0.3,1819,3,"[5, 6, 7]",0.093653,2.621656,98.642346,0.996978,0.997646,0.999063,0.998354,5423,146,58,61873,177.5
cwtm,0.3,1819,3,"[5, 6, 7]",0.046826,1.580176,99.186499,0.998267,0.99858,0.999532,0.999056,5481,88,29,61902,177.3
gm,0.3,1819,3,"[5, 6, 7]",0.024221,3.663135,98.156322,0.996756,0.996716,0.999758,0.998235,5365,204,15,61916,181.4
trust_gm,0.3,1819,3,"[5, 6, 7]",0.020991,1.97522,99.001894,0.998178,0.998227,0.99979,0.999008,5459,110,13,61918,180.7
acccs_gm,0.3,1819,3,"[5, 6, 7]",0.022606,1.97522,99.001087,0.998163,0.998227,0.999774,0.999,5459,110,14,61917,181.0
fedavg,0.4,1819,4,"[3, 5, 6, 7]",3.867207,10.378883,92.876955,0.955956,0.990385,0.961328,0.97564,4991,578,2395,59536,176.4
cwtm,0.4,1819,4,"[3, 5, 6, 7]",0.050056,11.994972,93.977486,0.989644,0.989324,0.999499,0.994385,4901,668,31,61900,177.8
gm,0.4,1819,4,"[3, 5, 6, 7]",0.29549,13.629018,93.037746,0.986044,0.987857,0.997045,0.99243,4810,759,183,61748,181.3
trust_gm,0.4,1819,4,"[3, 5, 6, 7]",0.016147,9.086012,95.448921,0.992356,0.991895,0.999839,0.995851,5063,506,10,61921,180.4
acccs_gm,0.4,1819,4,"[3, 5, 6, 7]",0.020991,2.02909,98.97496,0.998133,0.998178,0.99979,0.998984,5456,113,13,61918,181.2
fedavg,0.0,2021,0,[],0.022606,0.682349,99.647523,0.99923,0.999387,0.999774,0.99958,5531,38,14,61917,177.2
cwtm,0.0,2021,0,[],0.020991,0.664392,99.657308,0.999259,0.999403,0.99979,0.999596,5532,37,13,61918,176.0
gm,0.0,2021,0,[],0.020991,0.664392,99.657308,0.999259,0.999403,0.99979,0.999596,5532,37,13,61918,174.9
trust_gm,0.0,2021,0,[],0.019376,0.969653,99.505485,0.999022,0.999129,0.999806,0.999467,5515,54,12,61919,175.3
acccs_gm,0.0,2021,0,[],0.020991,1.777698,99.100655,0.998341,0.998404,0.99979,0.999096,5470,99,13,61918,178.0
fedavg,0.2,2021,2,"[6, 7]",0.020991,4.525049,97.72698,0.996074,0.995947,0.99979,0.997865,5317,252,13,61918,177.0
cwtm,0.2,2021,2,"[6, 7]",0.020991,1.741785,99.118612,0.99837,0.998436,0.99979,0.999113,5472,97,13,61918,178.0
gm,0.2,2021,2,"[6, 7]",0.019376,1.705872,99.137376,0.998415,0.998468,0.999806,0.999137,5474,95,12,61919,180.0
trust_gm,0.2,2021,2,"[6, 7]",0.017762,2.298438,98.8419,0.997941,0.997937,0.999822,0.998879,5441,128,11,61920,181.0
acccs_gm,0.2,2021,2,"[6, 7]",0.019376,2.100916,98.939854,0.998089,0.998114,0.999806,0.998959,5452,117,12,61919,178.8
fedavg,0.3,2021,3,"[2, 6, 7]",0.146938,2.729395,98.561834,0.9964,0.997548,0.998531,0.998039,5417,152,91,61840,175.4
cwtm,0.3,2021,3,"[2, 6, 7]",0.019376,2.801221,98.589701,0.997511,0.997487,0.999806,0.998645,5413,156,12,61919,175.4
gm,0.3,2021,3,"[2, 6, 7]",0.022606,2.298438,98.839478,0.997896,0.997937,0.999774,0.998855,5441,128,14,61917,178.1
trust_gm,0.3,2021,3,"[2, 6, 7]",0.011303,2.370264,98.809217,0.997941,0.997873,0.999887,0.998879,5437,132,7,61924,179.1
acccs_gm,0.3,2021,3,"[2, 6, 7]",0.016147,2.531873,98.72599,0.997763,0.997728,0.999839,0.998782,5428,141,10,61921,180.2
fedavg,0.4,2021,4,"[2, 3, 6, 7]",4.20145,15.69402,90.052265,0.948504,0.985482,0.957985,0.971539,4695,874,2602,59329,178.5
cwtm,0.4,2021,4,"[2, 3, 6, 7]",0.285802,8.924403,95.394898,0.990015,0.992016,0.997142,0.994572,5072,497,177,61754,175.9
gm,0.4,2021,4,"[2, 3, 6, 7]",0.348775,4.686658,97.482283,0.992933,0.995789,0.996512,0.99615,5308,261,216,61715,179.2
trust_gm,0.4,2021,4,"[2, 3, 6, 7]",0.029065,2.980786,98.495074,0.997274,0.997326,0.999709,0.998516,5403,166,18,61913,179.8
acccs_gm,0.4,2021,4,"[2, 3, 6, 7]",0.022606,2.352307,98.812543,0.997852,0.997889,0.999774,0.99883,5438,131,14,61917,178.1
